"atleta_id","rodada_id","clube_id","posicao_id","status_id","pontos_num","preco_num","variacao_num","media_num","jogos_num","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
50459,10,283,3,7,10.1,10.05,1.99,2.69,9,10,24,1,0,1,2,0,0,0,5,7,0,3,0,4,0,0,0
50439,10,264,3,5,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51042,10,315,2,3,1.5,6.93,0.1,2.13,10,13,20,0,0,2,3,0,2,0,11,20,0,3,0,3,0,0,0
50645,10,265,2,7,0.5,5.3,-0.58,2.47,10,9,54,1,0,0,2,0,2,0,15,15,0,1,0,3,0,0,0
50856,10,266,3,7,-0.1,8.29,-1.03,1.38,9,14,20,0,1,0,0,0,0,0,7,10,0,2,0,1,0,0,0
51299,10,263,3,6,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51413,10,264,1,6,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51792,10,287,3,7,0.0,7.41,-0.22,3.94,5,2,14,1,0,0,2,1,1,0,5,5,0,1,0,1,0,0,0
51319,10,303,4,3,1.0,7.45,0.2,2.17,6,6,19,1,0,1,6,1,1,0,5,7,0,1,1,0,0,0,0
51772,10,262,4,7,3.6,12.56,-2.44,3.6,1,1,6,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0
51318,10,277,4,7,0.0,4.97,0.0,1.03,3,3,4,0,0,0,1,0,0,0,3,2,0,1,0,0,0,0,0
51415,10,373,3,7,-0.9,6.84,-0.49,2.6,10,20,22,0,0,0,4,0,0,0,14,18,0,0,0,1,0,0,0
52674,10,263,2,6,0.0,9.09,0.0,3.99,7,13,7,0,1,0,0,0,0,0,5,3,0,1,0,3,0,0,0
51705,10,284,3,2,0.0,5.11,0.0,-0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51905,10,287,2,6,0.0,6.5,0.0,4.02,6,16,21,0,0,0,2,0,0,0,15,15,0,1,0,1,0,0,0
51700,10,294,2,6,0.0,4.73,0.0,7.0,1,2,4,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
52950,10,282,1,7,0.0,9.79,0.0,3.6,9,0,7,0,0,0,0,0,0,0,0,1,0,1,0,2,14,1,11
52253,10,262,3,7,0.0,10.31,0.0,4.08,9,8,15,0,0,1,1,1,0,0,10,5,0,1,0,3,0,0,0
63172,10,267,3,7,5.1,5.49,0.87,1.55,9,7,18,0,0,1,6,0,0,0,6,15,0,1,0,2,0,0,0
63128,10,276,3,6,0.0,3.28,0.0,0.9,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
